country_code,avg_carbon_intensity,cluster_prediction
DE,275.12418715847036,0
AE,285.6809540072844,0
MX,296.65563524590215,0
AR,302.92154713114644,0
US,329.06212918937683,0
IE,330.2651719034599,0
KR,357.03463911657485,0
SG,366.9285234517316,0
SN,375.5291848816047,0
TH,381.2616120218571,0
CZ,436.09923383424405,0
AU,445.63828893442513,0
CA,87.88182490892518,1
ES,88.30478938979935,1
AT,95.66794398907084,1
GB,105.6878164845175,1
BE,106.99655510018233,1
SI,198.15388319672158,1
IT,207.29918943533622,1
SE,3.726148679417131,2
NO,8.623935564663025,2
CH,15.01666780510022,2
FR,16.49390710382512,2
FI,40.471477686703196,3
BR,58.00800318761388,3
MA,479.97237932604736,4
CN,481.76787682149205,4
IN,609.3375523679432,4
PL,642.6241177140232,4
ZA,656.7194979508192,4
